"DOI","Publication Date","Publication Year","Journal","Research Article' or 'non-Research Article'?","Article Title","Citations - CrossRef","Citations - PubMed Central","Citations - Scopus","Total HTML Page Views","Total PDF Downloads","Total XML Downloads","Combined Usage (HTML + PDF + XML)","Blog Coverage - Postgenomic","Blog Coverage - Nature Blogs","Blog Coverage - Bloglines","Number of Trackbacks","Social Bookmarking - CiteULike","Social Bookmarking - Connotea","Number of Ratings","Average Rating","Number of Note threads","Number of replies to Notes","Number of Comment threads","Number of replies to Comments","Number of 'Star Ratings' that also include a text comment"
"10.1371/journal.pmed.1000051",03/17/09,2009,"PLoS Medicine","non RA","Media Portrayals of Suicide",0,0,0,1228,433,28,1689,0,0,0,0,0,2,0,0,0,0,1,0,0
"10.1371/journal.pone.0005410",04/30/09,2009,"PLoS ONE","RA","A Conserved Multi-Gene Family Induces Cross-Reactive Antibodies Effective in Defense against Plasmodium falciparum",0,0,0,202,65,3,270,0,0,0,0,0,0,0,0,0,0,0,0,0
"10.1371/journal.pmed.1000054",04/14/09,2009,"PLoS Medicine","non RA","Mapping the Spread of Malaria Drug Resistance",0,0,0,805,269,8,1082,0,0,5,0,1,0,0,0,0,0,0,0,0
"10.1371/journal.pmed.1000047",04/07/09,2009,"PLoS Medicine","RA","A Novel Tool for the Assessment of Pain: Validation in Low Back Pain",2,2,1,6785,1255,25,8065,0,0,0,0,1,0,2,3.5,0,0,1,0,0
"10.1371/journal.pmed.1000049",04/21/09,2009,"PLoS Medicine","RA","Antigenic Fingerprinting of H5N1 Avian Influenza Using Convalescent Sera and Monoclonal Antibodies Reveals Potential Vaccine and Diagnostic Targets",0,0,1,1942,578,14,2534,0,1,0,0,4,0,0,0,0,0,0,0,0
"10.1371/journal.pmed.1000050",03/24/09,2009,"PLoS Medicine","non RA","The Alcohol Flushing Response: An Unrecognized Risk Factor for Esophageal Cancer from Alcohol Consumption",0,0,0,16943,1618,95,18656,0,0,0,0,0,0,0,0,0,0,1,0,0
"10.1371/journal.pmed.1000061",05/12/09,2009,"PLoS Medicine","RA","Preconceptional Folate Supplementation and the Risk of Spontaneous Preterm Birth: A Cohort Study",0,0,1,2074,440,9,2523,0,0,0,1,0,0,0,0,0,0,1,0,0
"10.1371/journal.pmed.1000062",04/28/09,2009,"PLoS Medicine","non RA","The Millennium Development Goals Fail Poor Children: The Case for Equity-Adjusted Measures",0,1,1,736,212,13,961,0,0,0,1,0,0,0,0,0,0,0,0,0
"10.1371/journal.pone.0004233",01/21/09,2009,"PLoS ONE","RA","Secretion of Hepatitis C Virus Envelope Glycoproteins Depends on Assembly of Apolipoprotein B Positive Lipoproteins",0,1,0,698,282,5,985,0,0,0,0,0,0,0,0,0,0,0,0,0
"10.1371/journal.pmed.1000055",04/14/09,2009,"PLoS Medicine","RA","Multiple Origins and Regional Dispersal of Resistant dhps in African Plasmodium falciparum Malaria",0,2,1,784,254,9,1047,0,0,0,0,1,0,0,0,0,0,0,0,0
"10.1371/journal.pmed.1000058",04/28/09,2009,"PLoS Medicine","RA","The Preventable Causes of Death in the United States: Comparative Risk Assessment of Dietary, Lifestyle, and Metabolic Risk Factors",0,1,1,5521,1114,16,6651,0,0,0,1,1,0,0,0,0,0,2,0,0
"10.1371/journal.pmed.1000059",04/28/09,2009,"PLoS Medicine","non RA","Global Health Actors Claim To Support Health System Strengthening?Is This Reality or Rhetoric?",0,1,2,1528,478,11,2017,0,0,0,1,1,0,1,5,0,0,1,0,0
"10.1371/journal.pgen.1000549",07/03/09,2009,"PLoS Genetics","RA","Genomic Analysis of the Basal Lineage Fungus Rhizopus oryzae Reveals a Whole-Genome Duplication",0,0,0,413,137,1,551,0,0,0,0,2,0,0,0,0,0,0,0,0
"10.1371/journal.pone.0005292",04/23/09,2009,"PLoS ONE","RA","Short-Term Striatal Gene Expression Responses to Brain-Derived Neurotrophic Factor Are Dependent on MEK and ERK Activation",0,0,1,326,102,3,431,0,0,0,0,0,0,0,0,0,0,0,0,0
